space_name,address,postcode,brand,checkin,checkout
"The Sidings, Waterloo — The Large Front Retail Space (G19)",G19 The Sidings Waterloo,SE1 7LY,Sokollab Limited KPOP pop up experience,2026-03-20,2026-03-30
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,Break Vintage,2026-03-26,2026-03-31
Marylebone High Street — The Modern Store,3 Paddington Street,W1U 5QD,Otiumberg,2026-03-11,2026-04-01
Marylebone High Street — The Modern Store,3 Paddington Street,W1U 5QD,Serious People,2026-04-02,2026-04-03
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,Nonna Tonda,2026-03-31,2026-04-04
"Brick Lane, Shoreditch - The Retro Studio",228 Brick Lane,E2 7EE,Second Life Markets,2026-04-02,2026-04-04
Marylebone High Street — The Modern Store,3 Paddington Street,W1U 5QD,Maison Sérica- a resort salon,2026-04-04,2026-04-06
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Atunda London Summer Slow Fashion Pop Up,2026-04-01,2026-04-07
"Bateman Street, Soho - The Gallery",15 Bateman Street,W1D 3AQ,Marisa Saint Claire,2026-04-10,2026-04-10
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Paradime Studio,2026-04-10,2026-04-12
"Brick Lane, Shoreditch - The Retro Studio",228 Brick Lane,E2 7EE,Taippe,2026-04-10,2026-04-12
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,REFY BEAUTY LTD,2026-04-09,2026-04-12
"The Sidings, Waterloo — The Large Retail Space (G18)",G18 The Sidings Waterloo,SE1 7LY,Immersia XR,2025-10-13,2026-04-12
"Hay Hill, Mayfair - The Parquet Store",14A Hay Hill,W1J 8NZ,Anderson & Garland Auctioneers,2026-04-09,2026-04-12
Bethnal Green Road - The Corner Space,123 Bethnal Green Road,E2 7DG,Viviens vintage,2026-04-07,2026-04-13
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,Runna Race Hub,2026-04-13,2026-04-13
"The Sidings, Waterloo — The Large Retail Space (G18)",G18 The Sidings Waterloo,SE1 7LY,Immersia XR,2026-04-13,2026-04-14
Bethnal Green Road - The Corner Space,123 Bethnal Green Road,E2 7DG,Pop Fiction Pop Ups,2026-04-14,2026-04-19
Marylebone High Street — The Modern Store,3 Paddington Street,W1U 5QD,Bessette LTD,2026-04-07,2026-04-19
"The Black & White Soho Shop, Greek Street",59 Greek Street,W1D 3DZ,M&C Saatchi - Cafe (Coca Cola),2026-04-14,2026-04-20
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Heaps & Stacks: Chocolate shop,2026-04-16,2026-04-20
"The Sidings, Waterloo — The Large Front Retail Space (G19)",G19 The Sidings Waterloo,SE1 7LY,Aniwura Art Collective,2026-04-15,2026-04-22
The Designer Boutique - Soho,19 D'Arblay Street,W1F 8ED,Boxfresh Press Day,2026-04-21,2026-04-22
